N1_contact TotalCurrent(n8_TLPn8_des) X,N1_contact TotalCurrent(n8_TLPn8_des) Y,N1_contact TotalCurrent(n10_TLPn10_des) X,N1_contact TotalCurrent(n10_TLPn10_des) Y,N1_contact TotalCurrent(n11_TLPn11_des) X,N1_contact TotalCurrent(n11_TLPn11_des) Y,N1_contact TotalCurrent(n12_TLPn12_des) X,N1_contact TotalCurrent(n12_TLPn12_des) Y,N1_contact TotalCurrent(n13_TLPn13_des) X,N1_contact TotalCurrent(n13_TLPn13_des) Y,N1_contact TotalCurrent(n14_TLPn14_des) X,N1_contact TotalCurrent(n14_TLPn14_des) Y,N1_contact TotalCurrent(n15_TLPn15_des) X,N1_contact TotalCurrent(n15_TLPn15_des) Y,N1_contact TotalCurrent(n16_TLPn16_des) X,N1_contact TotalCurrent(n16_TLPn16_des) Y,N1_contact TotalCurrent(n17_TLPn17_des) X,N1_contact TotalCurrent(n17_TLPn17_des) Y,N1_contact TotalCurrent(n294_TLPn294_des) X,N1_contact TotalCurrent(n294_TLPn294_des) Y,N1_contact TotalCurrent(n307_TLPn307_des) X,N1_contact TotalCurrent(n307_TLPn307_des) Y,N1_contact TotalCurrent(n320_TLPn320_des) X,N1_contact TotalCurrent(n320_TLPn320_des) Y,N1_contact TotalCurrent(n333_TLPn333_des) X,N1_contact TotalCurrent(n333_TLPn333_des) Y,N1_contact TotalCurrent(n346_TLPn346_des) X,N1_contact TotalCurrent(n346_TLPn346_des) Y,N1_contact TotalCurrent(n359_TLPn359_des) X,N1_contact TotalCurrent(n359_TLPn359_des) Y,N1_contact TotalCurrent(n372_TLPn372_des) X,N1_contact TotalCurrent(n372_TLPn372_des) Y,N1_contact TotalCurrent(n385_TLPn385_des) X,N1_contact TotalCurrent(n385_TLPn385_des) Y,N1_contact TotalCurrent(n398_TLPn398_des) X,N1_contact TotalCurrent(n398_TLPn398_des) Y,N1_contact TotalCurrent(n411_TLPn411_des) X,N1_contact TotalCurrent(n411_TLPn411_des) Y,N1_contact TotalCurrent(n424_TLPn424_des) X,N1_contact TotalCurrent(n424_TLPn424_des) Y,N1_contact TotalCurrent(n437_TLPn437_des) X,N1_contact TotalCurrent(n437_TLPn437_des) Y,N1_contact TotalCurrent(n450_TLPn450_des) X,N1_contact TotalCurrent(n450_TLPn450_des) Y,N1_contact TotalCurrent(n463_TLPn463_des) X,N1_contact TotalCurrent(n463_TLPn463_des) Y,N1_contact TotalCurrent(n476_TLPn476_des) X,N1_contact TotalCurrent(n476_TLPn476_des) Y,N1_contact TotalCurrent(n489_TLPn489_des) X,N1_contact TotalCurrent(n489_TLPn489_des) Y,N1_contact TotalCurrent(n502_TLPn502_des) X,N1_contact TotalCurrent(n502_TLPn502_des) Y,N1_contact TotalCurrent(n515_TLPn515_des) X,N1_contact TotalCurrent(n515_TLPn515_des) Y,N1_contact TotalCurrent(n528_TLPn528_des) X,N1_contact TotalCurrent(n528_TLPn528_des) Y,N1_contact TotalCurrent(n541_TLPn541_des) X,N1_contact TotalCurrent(n541_TLPn541_des) Y,N1_contact TotalCurrent(n554_TLPn554_des) X,N1_contact TotalCurrent(n554_TLPn554_des) Y,N1_contact TotalCurrent(n567_TLPn567_des) X,N1_contact TotalCurrent(n567_TLPn567_des) Y,N1_contact TotalCurrent(n580_TLPn580_des) X,N1_contact TotalCurrent(n580_TLPn580_des) Y,N1_contact Temperature(n8_TLPn8_des) X,N1_contact Temperature(n8_TLPn8_des) Y,N1_contact Temperature(n10_TLPn10_des) X,N1_contact Temperature(n10_TLPn10_des) Y,N1_contact Temperature(n11_TLPn11_des) X,N1_contact Temperature(n11_TLPn11_des) Y,N1_contact Temperature(n12_TLPn12_des) X,N1_contact Temperature(n12_TLPn12_des) Y,N1_contact Temperature(n13_TLPn13_des) X,N1_contact Temperature(n13_TLPn13_des) Y,N1_contact Temperature(n14_TLPn14_des) X,N1_contact Temperature(n14_TLPn14_des) Y,N1_contact Temperature(n15_TLPn15_des) X,N1_contact Temperature(n15_TLPn15_des) Y,N1_contact Temperature(n16_TLPn16_des) X,N1_contact Temperature(n16_TLPn16_des) Y,N1_contact Temperature(n17_TLPn17_des) X,N1_contact Temperature(n17_TLPn17_des) Y,N1_contact Temperature(n294_TLPn294_des) X,N1_contact Temperature(n294_TLPn294_des) Y,N1_contact Temperature(n307_TLPn307_des) X,N1_contact Temperature(n307_TLPn307_des) Y,N1_contact Temperature(n320_TLPn320_des) X,N1_contact Temperature(n320_TLPn320_des) Y,N1_contact Temperature(n333_TLPn333_des) X,N1_contact Temperature(n333_TLPn333_des) Y,N1_contact Temperature(n346_TLPn346_des) X,N1_contact Temperature(n346_TLPn346_des) Y,N1_contact Temperature(n359_TLPn359_des) X,N1_contact Temperature(n359_TLPn359_des) Y,N1_contact Temperature(n372_TLPn372_des) X,N1_contact Temperature(n372_TLPn372_des) Y,N1_contact Temperature(n385_TLPn385_des) X,N1_contact Temperature(n385_TLPn385_des) Y,N1_contact Temperature(n398_TLPn398_des) X,N1_contact Temperature(n398_TLPn398_des) Y,N1_contact Temperature(n411_TLPn411_des) X,N1_contact Temperature(n411_TLPn411_des) Y,N1_contact Temperature(n424_TLPn424_des) X,N1_contact Temperature(n424_TLPn424_des) Y,N1_contact Temperature(n437_TLPn437_des) X,N1_contact Temperature(n437_TLPn437_des) Y,N1_contact Temperature(n450_TLPn450_des) X,N1_contact Temperature(n450_TLPn450_des) Y,N1_contact Temperature(n463_TLPn463_des) X,N1_contact Temperature(n463_TLPn463_des) Y,N1_contact Temperature(n476_TLPn476_des) X,N1_contact Temperature(n476_TLPn476_des) Y,N1_contact Temperature(n489_TLPn489_des) X,N1_contact Temperature(n489_TLPn489_des) Y,N1_contact Temperature(n502_TLPn502_des) X,N1_contact Temperature(n502_TLPn502_des) Y,N1_contact Temperature(n515_TLPn515_des) X,N1_contact Temperature(n515_TLPn515_des) Y,N1_contact Temperature(n528_TLPn528_des) X,N1_contact Temperature(n528_TLPn528_des) Y,N1_contact Temperature(n541_TLPn541_des) X,N1_contact Temperature(n541_TLPn541_des) Y,N1_contact Temperature(n554_TLPn554_des) X,N1_contact Temperature(n554_TLPn554_des) Y,N1_contact Temperature(n567_TLPn567_des) X,N1_contact Temperature(n567_TLPn567_des) Y,N1_contact Temperature(n580_TLPn580_des) X,N1_contact Temperature(n580_TLPn580_des) Y
-0.003346716,1.61E-17,-0.002758359,1.00E-10,0.002536187,1.00E-09,0.055411053,1.00E-08,0.078866045,1.40E-08,0.10229035,1.80E-08,0.11399026,2.00E-08,0.13736407,2.40E-08,0.16070093,2.80E-08,-0.003340832,1.00E-12,-0.003287879,1.00E-11,0.008417586,2.00E-09,0.014297452,3.00E-09,0.020175755,4.00E-09,0.026052465,5.00E-09,0.031927553,6.00E-09,0.037800987,7.00E-09,0.043672736,8.00E-09,0.049542769,9.00E-09,0.061277556,1.10E-08,0.067142245,1.20E-08,0.073005086,1.30E-08,0.084725086,1.50E-08,0.090582174,1.60E-08,0.096437273,1.70E-08,0.10814135,1.90E-08,0.11983703,2.10E-08,0.12568161,2.20E-08,0.13152397,2.30E-08,0.14320185,2.50E-08,0.14903729,2.60E-08,0.15487033,2.70E-08,-0.003346716,300,-0.002758359,300,0.002536187,300,0.055411053,300,0.078866045,300,0.10229035,300,0.11399026,300,0.13736407,300,0.16070093,300,-0.003340832,300,-0.003287879,300,0.008417586,300,0.014297452,300,0.020175755,300,0.026052465,300,0.031927553,300,0.037800987,300,0.043672736,300,0.049542769,300,0.061277556,300,0.067142245,300,0.073005086,300,0.084725086,300,0.090582174,300,0.096437273,300,0.10814135,300,0.11983703,300,0.12568161,300,0.13152397,300,0.14320185,300,0.14903729,300,0.15487033,300
-0.003346287,3.78E-18,-0.001204859,2.20E-10,0.018058959,2.20E-09,0.20956226,2.20E-08,0.29374727,3.08E-08,0.37696205,3.96E-08,0.41792795,4.40E-08,0.19190891,3.12E-08,0.22419849,3.64E-08,-0.003324871,2.20E-12,-0.003132135,2.20E-11,0.039443237,4.40E-09,0.060805066,6.60E-09,0.082142876,8.80E-09,0.103455,1.10E-08,0.12473965,1.32E-08,0.1459949,1.54E-08,0.16721867,1.76E-08,0.18840863,1.98E-08,0.23067664,2.42E-08,0.25174842,2.64E-08,0.27277361,2.86E-08,0.31466311,3.30E-08,0.3355127,3.52E-08,0.3562845,3.74E-08,0.39752153,4.18E-08,0.43813006,4.62E-08,0.45805364,4.84E-08,0.18382289,2.99E-08,0.19998963,3.25E-08,0.2080649,3.38E-08,0.54869669,5.94E-08,-0.003346287,300,-0.001204859,300,0.018058959,300,0.20956226,300,0.29374727,300,0.37696205,300,0.41792795,300,0.19190891,300,0.22419849,300,-0.003324871,300,-0.003132135,300,0.039443237,300,0.060805066,300,0.082142876,300,0.103455,300,0.12473965,300,0.1459949,300,0.16721867,300,0.18840863,300,0.23067664,300,0.25174842,300,0.27277361,300,0.31466311,300,0.3355127,300,0.3562845,300,0.39752153,300,0.43813006,300,0.45805364,300,0.18382289,300,0.19998963,300,0.2080649,300,0.54869669,300
-0.003346283,-4.15E-18,0.001878306,3.64E-10,0.04884382,3.64E-09,0.50328579,3.64E-08,0.62459938,5.10E-08,0.67294083,6.55E-08,0.68774238,7.28E-08,0.27500045,3.98E-08,0.32074691,4.65E-08,-0.003294032,3.64E-12,-0.002823772,3.64E-11,0.10089596,7.28E-09,0.15278541,1.09E-08,0.20448224,1.46E-08,0.25594757,1.82E-08,0.30712378,2.18E-08,0.35790589,2.55E-08,0.40805762,2.91E-08,0.45698557,3.28E-08,0.54448086,4.00E-08,0.57826607,4.37E-08,0.60445854,4.73E-08,0.64042274,5.46E-08,0.65322527,5.82E-08,0.66387411,6.19E-08,0.68080889,6.92E-08,0.69392771,7.64E-08,0.69949913,8.01E-08,0.26352548,3.82E-08,0.28646082,4.15E-08,0.29790588,4.32E-08,0.7208148,9.83E-08,-0.003346283,300,0.001878306,300,0.04884382,300,0.50328579,300,0.62459938,300,0.67294083,300,0.68774238,300,0.27500045,300,0.32074691,300,-0.003294032,300,-0.002823772,300,0.10089596,300,0.15278541,300,0.20448224,300,0.25594757,300,0.30712378,300,0.35790589,300,0.40805762,300,0.45698557,300,0.54448086,300,0.57826607,300,0.60445854,300,0.64042274,300,0.65322527,300,0.66387411,300,0.68080889,300,0.69392771,300,0.69949913,300,0.26352548,300,0.28646082,300,0.29790588,300,0.7208148,300
-0.003346279,-3.33E-17,0.007333404,5.37E-10,0.10320142,5.37E-09,0.68253559,5.37E-08,0.71350036,7.52E-08,0.72966327,9.66E-08,0.73585145,1.07E-07,0.39904827,5.02E-08,0.46377791,5.86E-08,-0.003239458,5.37E-12,-0.002278089,5.37E-11,0.2090574,1.07E-08,0.31389668,1.61E-08,0.4167291,2.15E-08,0.51192482,2.68E-08,0.58245298,3.22E-08,0.62446507,3.76E-08,0.65066505,4.29E-08,0.66889949,4.83E-08,0.69308023,5.90E-08,0.70135319,6.44E-08,0.70798921,6.98E-08,0.71823905,8.05E-08,0.7224274,8.59E-08,0.72620512,9.13E-08,0.73286397,1.02E-07,0.73865839,1.13E-07,0.74130966,1.18E-07,0.38266582,4.81E-08,0.41536439,5.23E-08,0.43160253,5.44E-08,0.752795,1.45E-07,-0.003346279,300,0.007333404,300,0.10320142,300,0.68253559,300,0.71350036,300,0.72966327,300,0.73585145,300,0.39904827,300,0.46377791,300,-0.003239458,300,-0.002278089,300,0.2090574,300,0.31389668,300,0.4167291,300,0.51192482,300,0.58245298,300,0.62446507,300,0.65066505,300,0.66889949,300,0.69308023,300,0.70135319,300,0.70798921,300,0.71823905,300,0.7224274,300,0.72620512,300,0.73286397,300,0.73865839,300,0.74130966,300,0.38266582,300,0.41536439,300,0.43160253,300,0.752795,300
-0.003346275,3.18E-17,0.016405213,7.44E-10,0.19321309,7.44E-09,0.71775703,7.44E-08,0.73593743,1.04E-07,0.74926614,1.34E-07,0.75490118,1.49E-07,0.57120539,6.26E-08,0.63532264,7.31E-08,-0.003148676,7.44E-12,-0.001370359,7.44E-11,0.38612713,1.49E-08,0.55221517,2.23E-08,0.6301417,2.98E-08,0.66474297,3.72E-08,0.68393995,4.46E-08,0.69593905,5.21E-08,0.70469072,5.95E-08,0.71175072,6.70E-08,0.72302236,8.19E-08,0.7277299,8.93E-08,0.73200504,9.67E-08,0.73959012,1.12E-07,0.74300811,1.19E-07,0.74622484,1.27E-07,0.75215263,1.41E-07,0.75752586,1.56E-07,0.76003854,1.64E-07,0.55119901,6.00E-08,0.58975559,6.53E-08,0.60665536,6.79E-08,0.77123439,2.01E-07,-0.003346275,300,0.016405213,300,0.19321309,300,0.71775703,300,0.73593743,300,0.74926614,300,0.75490118,300,0.57120539,300,0.63532264,300,-0.003148676,300,-0.001370359,300,0.38612713,300,0.55221517,300,0.6301417,300,0.66474297,300,0.68393995,300,0.69593905,300,0.70469072,300,0.71175072,300,0.72302236,300,0.7277299,300,0.73200504,300,0.73959012,300,0.74300811,300,0.74622484,300,0.75215263,300,0.75752586,300,0.76003854,300,0.55119901,300,0.58975559,300,0.60665536,300,0.77123439,300
-0.00334627,-1.54E-17,0.030923557,9.93E-10,0.33573347,9.93E-09,0.73388733,9.93E-08,0.75148268,1.39E-07,0.76496766,1.79E-07,0.77072914,1.99E-07,0.69103202,7.76E-08,0.71406169,9.05E-08,-0.003003314,9.93E-12,8.31E-05,9.93E-11,0.59344789,1.99E-08,0.66086053,2.98E-08,0.68419082,3.97E-08,0.6976257,4.96E-08,0.7075164,5.96E-08,0.71553594,6.95E-08,0.72240109,7.94E-08,0.72845358,8.94E-08,0.73882863,1.09E-07,0.74336667,1.19E-07,0.74756776,1.29E-07,0.75515118,1.49E-07,0.75860503,1.59E-07,0.76187008,1.69E-07,0.76791565,1.89E-07,0.77342103,2.09E-07,0.7760024,2.18E-07,0.68275763,7.43E-08,0.69811712,8.08E-08,0.70420903,8.40E-08,0.78754971,2.68E-07,-0.00334627,300,0.030923557,300,0.33573347,300,0.73388733,300,0.75148268,300,0.76496766,300,0.77072914,300,0.69103202,300,0.71406169,300,-0.003003314,300,8.31E-05,300,0.59344789,300,0.66086053,300,0.68419082,300,0.6976257,300,0.7075164,300,0.71553594,300,0.72240109,300,0.72845358,300,0.73882863,300,0.74336667,300,0.74756776,300,0.75515118,300,0.75860503,300,0.76187008,300,0.76791565,300,0.77342103,300,0.7760024,300,0.68275763,300,0.69811712,300,0.70420903,300,0.78754971,300
-0.003346264,-5.55E-18,0.05356404,1.29E-09,0.5326058,1.29E-08,0.74772463,1.29E-07,0.76568744,1.81E-07,0.7795493,2.32E-07,0.78549247,2.58E-07,0.72722078,9.55E-08,0.73748023,1.11E-07,-0.00277643,1.29E-11,0.002351446,1.29E-10,0.66077901,2.58E-08,0.68622643,3.87E-08,0.70107159,5.17E-08,0.71227905,6.46E-08,0.72145751,7.75E-08,0.72928107,9.04E-08,0.73612402,1.03E-07,0.7422195,1.16E-07,0.75275096,1.42E-07,0.75738082,1.55E-07,0.76167676,1.68E-07,0.76945153,1.94E-07,0.77300021,2.07E-07,0.77635906,2.20E-07,0.78258873,2.45E-07,0.78827341,2.71E-07,0.79094269,2.84E-07,0.72403005,9.15E-08,0.73011159,9.95E-08,0.73275771,1.03E-07,0.80291347,3.49E-07,-0.003346264,300,0.05356404,300,0.5326058,300,0.74772463,300,0.76568744,300,0.7795493,300,0.78549247,300,0.72722078,300,0.73748023,300,-0.00277643,300,0.002351446,300,0.66077901,300,0.68622643,300,0.70107159,300,0.71227905,300,0.72145751,300,0.72928107,300,0.73612402,300,0.7422195,300,0.75275096,300,0.75738082,300,0.76167676,300,0.76945153,300,0.77300021,300,0.77635906,300,0.78258873,300,0.78827341,300,0.79094269,300,0.72403005,300,0.73011159,300,0.73275771,300,0.80291347,300
-0.003346257,1.51E-17,0.088217704,1.65E-09,0.63154279,1.65E-08,0.76079741,1.65E-07,0.77923276,2.31E-07,0.79352866,2.97E-07,0.79967726,3.30E-07,0.74153935,1.17E-07,0.74991873,1.36E-07,-0.002428646,1.65E-11,0.005828214,1.65E-10,0.67922628,3.30E-08,0.69934103,4.95E-08,0.71357165,6.60E-08,0.72475871,8.25E-08,0.73402969,9.90E-08,0.74197463,1.15E-07,0.74894491,1.32E-07,0.75516741,1.48E-07,0.76594595,1.81E-07,0.77069524,1.98E-07,0.77510791,2.14E-07,0.78310859,2.47E-07,0.78676676,2.64E-07,0.790233,2.80E-07,0.79667167,3.13E-07,0.80255845,3.46E-07,0.80532644,3.63E-07,0.73919822,1.12E-07,0.74376979,1.22E-07,0.74590294,1.27E-07,0.81777086,4.45E-07,-0.003346257,300,0.088217704,300,0.63154279,300,0.76079741,300,0.77923276,300,0.79352866,300,0.79967726,300,0.74153935,300,0.74991873,300,-0.002428646,300,0.005828214,300,0.67922628,300,0.69934103,300,0.71357165,300,0.72475871,300,0.73402969,300,0.74197463,300,0.74894491,300,0.75516741,300,0.76594595,300,0.77069524,300,0.77510791,300,0.78310859,300,0.78676676,300,0.790233,300,0.79667167,300,0.80255845,300,0.80532644,300,0.73919822,300,0.74376979,300,0.74590294,300,0.81777086,300
-0.003346248,-1.24E-17,0.14050416,2.08E-09,0.65657632,2.08E-08,0.77343991,2.08E-07,0.79240974,2.91E-07,0.80719143,3.74E-07,0.81356932,4.16E-07,0.75260549,1.43E-07,0.76090473,1.67E-07,-0.001902556,2.08E-11,0.011086599,2.08E-10,0.69106077,4.16E-08,0.71090719,6.24E-08,0.72527344,8.32E-08,0.73662774,1.04E-07,0.74606474,1.25E-07,0.7541701,1.46E-07,0.76129479,1.66E-07,0.76766612,1.87E-07,0.77872774,2.29E-07,0.78361228,2.50E-07,0.78815656,2.70E-07,0.7964109,3.12E-07,0.80019167,3.33E-07,0.80377799,3.54E-07,0.81045008,3.95E-07,0.8165623,4.37E-07,0.81944036,4.58E-07,0.75033162,1.37E-07,0.75479302,1.49E-07,0.75690138,1.55E-07,0.83241263,5.62E-07,-0.003346248,300,0.14050416,300,0.65657632,300,0.77343991,300,0.79240974,300,0.80719143,300,0.81356932,300,0.75260549,300,0.76090473,300,-0.001902556,300,0.011086599,300,0.69106077,300,0.71090719,300,0.72527344,300,0.73662774,300,0.74606474,300,0.7541701,300,0.76129479,300,0.76766612,300,0.77872774,300,0.78361228,300,0.78815656,300,0.7964109,300,0.80019167,300,0.80377799,300,0.81045008,300,0.8165623,300,0.81944036,300,0.75033162,300,0.75479302,300,0.75690138,300,0.83241263,300
-0.003346238,-1.87E-17,0.21843996,2.60E-09,0.66859135,2.60E-08,0.78585004,2.60E-07,0.80541746,3.63E-07,0.8207412,4.67E-07,0.82737493,5.19E-07,0.76331058,1.74E-07,0.77175153,2.03E-07,-0.00111466,2.60E-11,0.018959704,2.60E-10,0.70196345,5.19E-08,0.72201508,7.79E-08,0.7365983,1.04E-07,0.74815759,1.30E-07,0.75778785,1.56E-07,0.76607645,1.82E-07,0.77337593,2.08E-07,0.77991485,2.34E-07,0.79129387,2.86E-07,0.79632968,3.12E-07,0.80102101,3.37E-07,0.8095585,3.89E-07,0.81347607,4.15E-07,0.81719637,4.41E-07,0.82412888,4.93E-07,0.83049268,5.45E-07,0.83349361,5.71E-07,0.76100487,1.67E-07,0.76553192,1.81E-07,0.76767544,1.88E-07,0.84705553,7.01E-07,-0.003346238,300,0.21843996,300,0.66859135,300,0.78585004,300,0.80541746,300,0.8207412,300,0.82737493,300,0.76331058,300,0.77175153,300,-0.00111466,300,0.018959704,300,0.70196345,300,0.72201508,300,0.7365983,300,0.74815759,300,0.75778785,300,0.76607645,300,0.77337593,300,0.77991485,300,0.79129387,300,0.79632968,300,0.80102101,300,0.8095585,300,0.81347607,300,0.81719637,300,0.82412888,300,0.83049268,300,0.83349361,300,0.76100487,300,0.76553192,300,0.76767544,300,0.84705553,300
-0.003346225,-3.51E-18,0.33289939,3.22E-09,0.67896153,3.22E-08,0.79817354,3.22E-07,0.81840805,4.50E-07,0.8343375,5.79E-07,0.84125748,6.43E-07,0.77402316,2.11E-07,0.78265012,2.46E-07,5.63E-05,3.22E-11,0.03065559,3.22E-10,0.71253615,6.43E-08,0.73286512,9.65E-08,0.74770162,1.29E-07,0.75949432,1.61E-07,0.76934251,1.93E-07,0.77783677,2.25E-07,0.78533189,2.57E-07,0.79205812,2.89E-07,0.80379152,3.54E-07,0.80899616,3.86E-07,0.81385163,4.18E-07,0.82270531,4.82E-07,0.82677571,5.14E-07,0.83064575,5.47E-07,0.8378695,6.11E-07,0.84451493,6.75E-07,0.84765349,7.07E-07,0.77167015,2.02E-07,0.77629153,2.20E-07,0.77848173,2.28E-07,0.86187688,8.68E-07,-0.003346225,300,0.33289939,300,0.67896153,300,0.79817354,300,0.81840805,300,0.8343375,300,0.84125748,300,0.77402316,300,0.78265012,300,5.63E-05,300,0.03065559,300,0.71253615,300,0.73286512,300,0.74770162,300,0.75949432,300,0.76934251,300,0.77783677,300,0.78533189,300,0.79205812,300,0.80379152,300,0.80899616,300,0.81385163,300,0.82270531,300,0.82677571,300,0.83064575,300,0.8378695,300,0.84451493,300,0.84765349,300,0.77167015,300,0.77629153,300,0.77848173,300,0.86187688,300
