N1_contact TotalCurrent(n208_TLPn208_des) X,N1_contact TotalCurrent(n208_TLPn208_des) Y,N1_contact TotalCurrent(n209_TLPn209_des) X,N1_contact TotalCurrent(n209_TLPn209_des) Y,N1_contact TotalCurrent(n210_TLPn210_des) X,N1_contact TotalCurrent(n210_TLPn210_des) Y,N1_contact TotalCurrent(n211_TLPn211_des) X,N1_contact TotalCurrent(n211_TLPn211_des) Y,N1_contact TotalCurrent(n212_TLPn212_des) X,N1_contact TotalCurrent(n212_TLPn212_des) Y,N1_contact TotalCurrent(n213_TLPn213_des) X,N1_contact TotalCurrent(n213_TLPn213_des) Y,N1_contact TotalCurrent(n214_TLPn214_des) X,N1_contact TotalCurrent(n214_TLPn214_des) Y,N1_contact TotalCurrent(n215_TLPn215_des) X,N1_contact TotalCurrent(n215_TLPn215_des) Y,N1_contact TotalCurrent(n299_TLPn299_des) X,N1_contact TotalCurrent(n299_TLPn299_des) Y,N1_contact TotalCurrent(n312_TLPn312_des) X,N1_contact TotalCurrent(n312_TLPn312_des) Y,N1_contact TotalCurrent(n325_TLPn325_des) X,N1_contact TotalCurrent(n325_TLPn325_des) Y,N1_contact TotalCurrent(n338_TLPn338_des) X,N1_contact TotalCurrent(n338_TLPn338_des) Y,N1_contact TotalCurrent(n351_TLPn351_des) X,N1_contact TotalCurrent(n351_TLPn351_des) Y,N1_contact TotalCurrent(n364_TLPn364_des) X,N1_contact TotalCurrent(n364_TLPn364_des) Y,N1_contact TotalCurrent(n377_TLPn377_des) X,N1_contact TotalCurrent(n377_TLPn377_des) Y,N1_contact TotalCurrent(n390_TLPn390_des) X,N1_contact TotalCurrent(n390_TLPn390_des) Y,N1_contact TotalCurrent(n403_TLPn403_des) X,N1_contact TotalCurrent(n403_TLPn403_des) Y,N1_contact TotalCurrent(n416_TLPn416_des) X,N1_contact TotalCurrent(n416_TLPn416_des) Y,N1_contact TotalCurrent(n429_TLPn429_des) X,N1_contact TotalCurrent(n429_TLPn429_des) Y,N1_contact TotalCurrent(n442_TLPn442_des) X,N1_contact TotalCurrent(n442_TLPn442_des) Y,N1_contact TotalCurrent(n455_TLPn455_des) X,N1_contact TotalCurrent(n455_TLPn455_des) Y,N1_contact TotalCurrent(n468_TLPn468_des) X,N1_contact TotalCurrent(n468_TLPn468_des) Y,N1_contact TotalCurrent(n481_TLPn481_des) X,N1_contact TotalCurrent(n481_TLPn481_des) Y,N1_contact TotalCurrent(n494_TLPn494_des) X,N1_contact TotalCurrent(n494_TLPn494_des) Y,N1_contact TotalCurrent(n507_TLPn507_des) X,N1_contact TotalCurrent(n507_TLPn507_des) Y,N1_contact TotalCurrent(n520_TLPn520_des) X,N1_contact TotalCurrent(n520_TLPn520_des) Y,N1_contact TotalCurrent(n533_TLPn533_des) X,N1_contact TotalCurrent(n533_TLPn533_des) Y,N1_contact TotalCurrent(n546_TLPn546_des) X,N1_contact TotalCurrent(n546_TLPn546_des) Y,N1_contact Temperature(n208_TLPn208_des) X,N1_contact Temperature(n208_TLPn208_des) Y,N1_contact Temperature(n209_TLPn209_des) X,N1_contact Temperature(n209_TLPn209_des) Y,N1_contact Temperature(n210_TLPn210_des) X,N1_contact Temperature(n210_TLPn210_des) Y,N1_contact Temperature(n211_TLPn211_des) X,N1_contact Temperature(n211_TLPn211_des) Y,N1_contact Temperature(n212_TLPn212_des) X,N1_contact Temperature(n212_TLPn212_des) Y,N1_contact Temperature(n213_TLPn213_des) X,N1_contact Temperature(n213_TLPn213_des) Y,N1_contact Temperature(n214_TLPn214_des) X,N1_contact Temperature(n214_TLPn214_des) Y,N1_contact Temperature(n215_TLPn215_des) X,N1_contact Temperature(n215_TLPn215_des) Y,N1_contact Temperature(n299_TLPn299_des) X,N1_contact Temperature(n299_TLPn299_des) Y,N1_contact Temperature(n312_TLPn312_des) X,N1_contact Temperature(n312_TLPn312_des) Y,N1_contact Temperature(n325_TLPn325_des) X,N1_contact Temperature(n325_TLPn325_des) Y,N1_contact Temperature(n338_TLPn338_des) X,N1_contact Temperature(n338_TLPn338_des) Y,N1_contact Temperature(n351_TLPn351_des) X,N1_contact Temperature(n351_TLPn351_des) Y,N1_contact Temperature(n364_TLPn364_des) X,N1_contact Temperature(n364_TLPn364_des) Y,N1_contact Temperature(n377_TLPn377_des) X,N1_contact Temperature(n377_TLPn377_des) Y,N1_contact Temperature(n390_TLPn390_des) X,N1_contact Temperature(n390_TLPn390_des) Y,N1_contact Temperature(n403_TLPn403_des) X,N1_contact Temperature(n403_TLPn403_des) Y,N1_contact Temperature(n416_TLPn416_des) X,N1_contact Temperature(n416_TLPn416_des) Y,N1_contact Temperature(n429_TLPn429_des) X,N1_contact Temperature(n429_TLPn429_des) Y,N1_contact Temperature(n442_TLPn442_des) X,N1_contact Temperature(n442_TLPn442_des) Y,N1_contact Temperature(n455_TLPn455_des) X,N1_contact Temperature(n455_TLPn455_des) Y,N1_contact Temperature(n468_TLPn468_des) X,N1_contact Temperature(n468_TLPn468_des) Y,N1_contact Temperature(n481_TLPn481_des) X,N1_contact Temperature(n481_TLPn481_des) Y,N1_contact Temperature(n494_TLPn494_des) X,N1_contact Temperature(n494_TLPn494_des) Y,N1_contact Temperature(n507_TLPn507_des) X,N1_contact Temperature(n507_TLPn507_des) Y,N1_contact Temperature(n520_TLPn520_des) X,N1_contact Temperature(n520_TLPn520_des) Y,N1_contact Temperature(n533_TLPn533_des) X,N1_contact Temperature(n533_TLPn533_des) Y,N1_contact Temperature(n546_TLPn546_des) X,N1_contact Temperature(n546_TLPn546_des) Y
-0.000147392,1.25E-18,0.00080415,1.00E-10,0.009370254,1.00E-09,0.094992676,1.00E-08,0.13292365,1.40E-08,0.1707447,1.80E-08,0.18960933,2.00E-08,0.22723758,2.40E-08,-0.000137877,1.00E-12,-5.22E-05,1.00E-11,0.018891172,2.00E-09,0.028413166,3.00E-09,0.037934541,4.00E-09,0.047453981,5.00E-09,0.056970457,6.00E-09,0.066483157,7.00E-09,0.075991431,8.00E-09,0.08549475,9.00E-09,0.10448484,1.10E-08,0.11397091,1.20E-08,0.1234506,1.30E-08,0.14238982,1.50E-08,0.15184887,1.60E-08,0.16130057,1.70E-08,0.18018103,1.90E-08,0.19902938,2.10E-08,0.20844093,2.20E-08,0.21784375,2.30E-08,-0.000147392,300,0.00080415,300,0.009370254,300,0.094992676,300,0.13292365,300,0.1707447,300,0.18960933,300,0.22723758,300,-0.000137877,300,-5.22E-05,300,0.018891172,300,0.028413166,300,0.037934541,300,0.047453981,300,0.056970457,300,0.066483157,300,0.075991431,300,0.08549475,300,0.10448484,300,0.11397091,300,0.1234506,300,0.14238982,300,0.15184887,300,0.16130057,300,0.18018103,300,0.19902938,300,0.20844093,300,0.21784375,300
-0.00014738,-1.98E-18,0.003316368,2.20E-10,0.034505682,2.20E-09,0.34284153,2.20E-08,0.47564675,3.08E-08,0.59827376,3.96E-08,0.64543157,4.40E-08,0.70109205,5.28E-08,-0.000112746,2.20E-12,0.000198962,2.20E-11,0.069143261,4.40E-09,0.10372162,6.60E-09,0.13822011,8.80E-09,0.1726257,1.10E-08,0.20692731,1.32E-08,0.24111353,1.54E-08,0.27517166,1.76E-08,0.30908691,1.98E-08,0.37641327,2.42E-08,0.4097723,2.64E-08,0.44287454,2.86E-08,0.50795425,3.30E-08,0.5395368,3.52E-08,0.56990725,3.74E-08,0.62367549,4.18E-08,0.66350634,4.62E-08,0.6783852,4.84E-08,0.69071825,5.06E-08,-0.00014738,300,0.003316368,300,0.034505682,300,0.34284153,300,0.47564675,300,0.59827376,300,0.64543157,300,0.70109205,300,-0.000112746,300,0.000198962,300,0.069143261,300,0.10372162,300,0.13822011,300,0.1726257,300,0.20692731,300,0.24111353,300,0.27517166,300,0.30908691,300,0.37641327,300,0.4097723,300,0.44287454,300,0.50795425,300,0.5395368,300,0.56990725,300,0.62367549,300,0.66350634,300,0.6783852,300,0.69071825,300
-0.00014738,4.51E-17,0.00830512,3.64E-10,0.084364907,3.64E-09,0.699763,3.64E-08,0.75092012,5.10E-08,0.70655442,4.61E-08,0.73598041,5.12E-08,0.76476669,6.14E-08,-6.29E-05,3.64E-12,0.000697691,3.64E-11,0.16849894,7.28E-09,0.25202145,1.09E-08,0.33474828,1.46E-08,0.41639904,1.82E-08,0.49631472,2.18E-08,0.57175754,2.55E-08,0.63342548,2.91E-08,0.67399362,3.28E-08,0.71765156,4.00E-08,0.73114452,4.37E-08,0.74193489,4.73E-08,0.75861708,5.46E-08,0.65725017,4.10E-08,0.68473649,4.35E-08,0.72328564,4.86E-08,0.74571176,5.38E-08,0.75336317,5.63E-08,0.75957194,5.89E-08,-0.00014738,300,0.00830512,300,0.084364907,300,0.699763,300,0.75092012,300,0.70655442,300,0.73598041,300,0.76476669,300,-6.29E-05,300,0.000697691,300,0.16849894,300,0.25202145,300,0.33474828,300,0.41639904,300,0.49631472,300,0.57175754,300,0.63342548,300,0.67399362,300,0.71765156,300,0.73114452,300,0.74193489,300,0.75861708,300,0.65725017,300,0.68473649,300,0.72328564,300,0.74571176,300,0.75336317,300,0.75957194,300
-0.00014738,-6.99E-18,0.017135635,5.37E-10,0.17221911,5.37E-09,0.74799233,4.07E-08,0.77579419,5.70E-08,0.76279248,5.39E-08,0.77459354,5.98E-08,0.78836748,7.18E-08,2.54E-05,5.37E-12,0.001580308,5.37E-11,0.34204173,1.07E-08,0.506628,1.61E-08,0.63954994,2.15E-08,0.69897681,2.68E-08,0.72781523,3.22E-08,0.74611863,3.76E-08,0.71048262,3.26E-08,0.73422161,3.66E-08,0.75745744,4.48E-08,0.76472401,4.89E-08,0.77068816,5.29E-08,0.78029004,6.11E-08,0.74237272,4.79E-08,0.75408486,5.09E-08,0.76940573,5.68E-08,0.77882308,6.28E-08,0.78240698,6.58E-08,0.78554616,6.88E-08,-0.00014738,300,0.017135635,300,0.17221911,300,0.74799233,300,0.77579419,300,0.76279248,300,0.77459354,300,0.78836748,300,2.54E-05,300,0.001580308,300,0.34204173,300,0.506628,300,0.63954994,300,0.69897681,300,0.72781523,300,0.74611863,300,0.71048262,300,0.73422161,300,0.75745744,300,0.76472401,300,0.77068816,300,0.78029004,300,0.74237272,300,0.75408486,300,0.76940573,300,0.77882308,300,0.78240698,300,0.78554616,300
-0.00014738,2.53E-17,0.031827547,7.44E-10,0.31676883,7.44E-09,0.76726317,4.59E-08,0.78610325,6.43E-08,0.78321907,6.32E-08,0.78965392,7.02E-08,0.79964914,8.42E-08,0.000172197,7.44E-12,0.003048679,7.44E-11,0.60612044,1.49E-08,0.71068278,2.23E-08,0.74305391,2.98E-08,0.73655401,2.94E-08,0.7684366,4.46E-08,0.77645046,5.21E-08,0.74909412,3.67E-08,0.75997326,4.13E-08,0.7729946,5.05E-08,0.77786898,5.51E-08,0.78218675,5.97E-08,0.78971043,6.89E-08,0.77447541,5.62E-08,0.7792558,5.97E-08,0.78662777,6.67E-08,0.79240917,7.37E-08,0.79496543,7.72E-08,0.79736876,8.07E-08,-0.00014738,300,0.031827547,300,0.31676883,300,0.76726317,300,0.78610325,300,0.78321907,300,0.78965392,300,0.79964914,300,0.000172197,300,0.003048679,300,0.60612044,300,0.71068278,300,0.74305391,300,0.73655401,300,0.7684366,300,0.77645046,300,0.74909412,300,0.75997326,300,0.7729946,300,0.77786898,300,0.78218675,300,0.78971043,300,0.77447541,300,0.7792558,300,0.78662777,300,0.79240917,300,0.79496543,300,0.79736876,300
-0.00014738,1.47E-17,0.055345738,9.93E-10,0.53889459,9.93E-09,0.77644779,5.21E-08,0.79323436,7.30E-08,0.79370977,7.44E-08,0.79918666,8.26E-08,0.80869533,9.92E-08,0.000407291,9.93E-12,0.005400152,9.93E-11,0.7219883,1.99E-08,0.7500636,2.98E-08,0.76451975,3.97E-08,0.752311,3.25E-08,0.78383598,5.96E-08,0.79133117,6.95E-08,0.76438204,4.17E-08,0.77101632,4.69E-08,0.78122101,5.73E-08,0.78554566,6.25E-08,0.78952827,6.78E-08,0.79670915,7.82E-08,0.7874289,6.61E-08,0.79069695,7.03E-08,0.79652654,7.85E-08,0.80171705,8.68E-08,0.80413663,9.09E-08,0.80645923,9.50E-08,-0.00014738,300,0.055345738,300,0.53889459,300,0.77644779,300,0.79323436,300,0.79370977,300,0.79918666,300,0.80869533,300,0.000407291,300,0.005400152,300,0.7219883,300,0.7500636,300,0.76451975,300,0.752311,300,0.78383598,300,0.79133117,300,0.76438204,300,0.77101632,300,0.78122101,300,0.78554566,300,0.78952827,300,0.79670915,300,0.7874289,300,0.79069695,300,0.79652654,300,0.80171705,300,0.80413663,300,0.80645923,300
-0.00014738,1.18E-17,0.092006692,1.29E-09,0.69289117,1.29E-08,0.78349677,5.96E-08,0.80015079,8.34E-08,0.80256881,8.78E-08,0.80803038,9.76E-08,0.81771598,1.17E-07,0.000774243,1.29E-11,0.009070944,1.29E-10,0.74528522,2.58E-08,0.7639892,3.87E-08,0.77729169,5.17E-08,0.76006603,3.63E-08,0.79684612,7.75E-08,0.80461496,9.04E-08,0.77266144,4.77E-08,0.7783942,5.36E-08,0.78814367,6.55E-08,0.79242931,7.15E-08,0.79641639,7.75E-08,0.80366782,8.94E-08,0.79654834,7.81E-08,0.79963839,8.29E-08,0.8053607,9.27E-08,0.81059087,1.02E-07,0.81305287,1.07E-07,0.81542535,1.12E-07,-0.00014738,300,0.092006692,300,0.69289117,300,0.78349677,300,0.80015079,300,0.80256881,300,0.80803038,300,0.81771598,300,0.000774243,300,0.009070944,300,0.74528522,300,0.7639892,300,0.77729169,300,0.76006603,300,0.79684612,300,0.80461496,300,0.77266144,300,0.7783942,300,0.78814367,300,0.79242931,300,0.79641639,300,0.80366782,300,0.79654834,300,0.79963839,300,0.8053607,300,0.81059087,300,0.81305287,300,0.81542535,300
-0.00014738,2.43E-17,0.14803666,1.65E-09,0.72525667,1.65E-08,0.7904778,6.85E-08,0.80742406,9.60E-08,0.81148108,1.04E-07,0.81709142,1.15E-07,0.82708969,1.39E-07,0.001336762,1.65E-11,0.014698829,1.65E-10,0.75701399,3.30E-08,0.77542302,4.95E-08,0.78905592,6.60E-08,0.76599359,4.08E-08,0.80935532,9.90E-08,0.81747983,1.15E-07,0.77969085,5.48E-08,0.78534885,6.17E-08,0.79518441,7.54E-08,0.79954291,8.23E-08,0.80360856,8.91E-08,0.81102318,1.03E-07,0.80533866,9.24E-08,0.80848406,9.82E-08,0.81434573,1.10E-07,0.81972953,1.21E-07,0.82226983,1.27E-07,0.82472076,1.33E-07,-0.00014738,300,0.14803666,300,0.72525667,300,0.7904778,300,0.80742406,300,0.81148108,300,0.81709142,300,0.82708969,300,0.001336762,300,0.014698829,300,0.75701399,300,0.77542302,300,0.78905592,300,0.76599359,300,0.80935532,300,0.81747983,300,0.77969085,300,0.78534885,300,0.79518441,300,0.79954291,300,0.80360856,300,0.81102318,300,0.80533866,300,0.80848406,300,0.81434573,300,0.81972953,300,0.82226983,300,0.82472076,300
-0.00014738,2.49E-18,0.23229726,2.08E-09,0.73709289,2.08E-08,0.79779113,7.93E-08,0.81515022,1.11E-07,0.8207245,1.23E-07,0.82652831,1.37E-07,0.83690345,1.64E-07,0.002187737,2.08E-11,0.023213447,2.08E-10,0.76753437,4.16E-08,0.78642259,6.24E-08,0.80053011,8.32E-08,0.77186331,4.61E-08,0.82170024,1.25E-07,0.83022955,1.46E-07,0.7868142,6.34E-08,0.79256109,7.14E-08,0.80260161,8.72E-08,0.80706405,9.52E-08,0.8112328,1.03E-07,0.81884996,1.19E-07,0.81438688,1.10E-07,0.8176299,1.16E-07,0.82368625,1.30E-07,0.82926196,1.44E-07,0.83189692,1.51E-07,0.83444162,1.58E-07,-0.00014738,300,0.23229726,300,0.73709289,300,0.79779113,300,0.81515022,300,0.8207245,300,0.82652831,300,0.83690345,300,0.002187737,300,0.023213447,300,0.76753437,300,0.78642259,300,0.80053011,300,0.77186331,300,0.82170024,300,0.83022955,300,0.7868142,300,0.79256109,300,0.80260161,300,0.80706405,300,0.8112328,300,0.81884996,300,0.81438688,300,0.8176299,300,0.82368625,300,0.82926196,300,0.83189692,300,0.83444162,300
-0.00014738,3.89E-17,0.35698632,2.60E-09,0.74678838,2.60E-08,0.80550651,9.22E-08,0.82335872,1.29E-07,0.83037062,1.47E-07,0.8364014,1.63E-07,0.8472149,1.95E-07,0.003462317,2.60E-11,0.035965748,2.60E-10,0.77778767,5.19E-08,0.79727222,7.79E-08,0.81192473,1.04E-07,0.77805348,5.26E-08,0.83408241,1.56E-07,0.84306953,1.82E-07,0.79427086,7.38E-08,0.80014772,8.30E-08,0.81044361,1.01E-07,0.81503041,1.11E-07,0.81932129,1.20E-07,0.82717646,1.38E-07,0.82380023,1.30E-07,0.82716038,1.38E-07,0.83344655,1.55E-07,0.8392465,1.71E-07,0.84199163,1.79E-07,0.84464528,1.87E-07,-0.00014738,300,0.35698632,300,0.74678838,300,0.80550651,300,0.82335872,300,0.83037062,300,0.8364014,300,0.8472149,300,0.003462317,300,0.035965748,300,0.77778767,300,0.79727222,300,0.81192473,300,0.77805348,300,0.83408241,300,0.84306953,300,0.79427086,300,0.80014772,300,0.81044361,300,0.81503041,300,0.81932129,300,0.82717646,300,0.82380023,300,0.82716038,300,0.83344655,300,0.8392465,300,0.84199163,300,0.84464528,300
-0.00014738,-1.50E-18,0.53251583,3.22E-09,0.75617182,3.22E-08,0.8136485,1.08E-07,0.83207643,1.51E-07,0.84047277,1.74E-07,0.84676609,1.94E-07,0.85808545,2.33E-07,0.005356789,3.22E-11,0.05491222,3.22E-10,0.78795217,6.43E-08,0.8081182,9.65E-08,0.82338857,1.29E-07,0.78462887,6.03E-08,0.84666366,1.93E-07,0.85616871,2.25E-07,0.80210508,8.61E-08,0.80813768,9.69E-08,0.81873412,1.18E-07,0.8234662,1.29E-07,0.82789941,1.40E-07,0.83603125,1.62E-07,0.83363234,1.55E-07,0.83712851,1.65E-07,0.84368084,1.84E-07,0.84973992,2.03E-07,0.85261222,2.13E-07,0.85539156,2.23E-07,-0.00014738,300,0.53251583,300,0.75617182,300,0.8136485,300,0.83207643,300,0.84047277,300,0.84676609,300,0.85808545,300,0.005356789,300,0.05491222,300,0.78795217,300,0.8081182,300,0.82338857,300,0.78462887,300,0.84666366,300,0.85616871,300,0.80210508,300,0.80813768,300,0.81873412,300,0.8234662,300,0.82789941,300,0.83603125,300,0.83363234,300,0.83712851,300,0.84368084,300,0.84973992,300,0.85261222,300,0.85539156,300
-0.00014738,-1.62E-17,0.64891377,3.96E-09,0.76545677,3.96E-08,0.82224101,1.26E-07,0.84133604,1.77E-07,0.85108843,2.08E-07,0.8576839,2.31E-07,0.86958481,2.77E-07,0.008155846,3.96E-11,0.082874826,3.96E-10,0.79813833,7.92E-08,0.81907687,1.19E-07,0.83504654,1.58E-07,0.79160299,6.96E-08,0.85958685,2.37E-07,0.86967885,2.77E-07,0.81033875,1.01E-07,0.81655328,1.14E-07,0.82749907,1.39E-07,0.83239957,1.52E-07,0.83699755,1.64E-07,0.84544929,1.89E-07,0.84393687,1.85E-07,0.8475898,1.96E-07,0.85444863,2.19E-07,0.8608058,2.42E-07,0.86382431,2.54E-07,0.86674811,2.66E-07,-0.00014738,300,0.64891377,300,0.76545677,300,0.82224101,300,0.84133604,300,0.85108843,300,0.8576839,300,0.86958481,300,0.008155846,300,0.082874826,300,0.79813833,300,0.81907687,300,0.83504654,300,0.79160299,300,0.85958685,300,0.86967885,300,0.81033875,300,0.81655328,300,0.82749907,300,0.83239957,300,0.83699755,300,0.84544929,300,0.84393687,300,0.8475898,300,0.85444863,300,0.8608058,300,0.86382431,300,0.86674811,300
-0.00014738,4.74E-18,0.67672946,4.85E-09,0.77473196,4.85E-08,0.83131332,1.49E-07,0.85117787,2.08E-07,0.86228269,2.48E-07,0.86922496,2.75E-07,0.88179299,3.31E-07,0.012271885,4.85E-11,0.12390375,4.85E-10,0.80843752,9.70E-08,0.83025038,1.45E-07,0.84701201,1.94E-07,0.79898517,8.08E-08,0.87298734,2.91E-07,0.88374587,3.39E-07,0.81899586,1.19E-07,0.82542106,1.34E-07,0.83677051,1.63E-07,0.84186531,1.78E-07,0.84665329,1.93E-07,0.85547367,2.23E-07,0.85477385,2.20E-07,0.85860682,2.34E-07,0.86581751,2.62E-07,0.87251675,2.89E-07,0.87570299,3.03E-07,0.8787925,3.17E-07,-0.00014738,300,0.67672946,300,0.77473196,300,0.83131332,300,0.85117787,300,0.86228269,300,0.86922496,300,0.88179299,300,0.012271885,300,0.12390375,300,0.80843752,300,0.83025038,300,0.84701201,300,0.79898517,300,0.87298734,300,0.88374587,300,0.81899586,300,0.82542106,300,0.83677051,300,0.84186531,300,0.84665329,300,0.85547367,300,0.85477385,300,0.85860682,300,0.86581751,300,0.87251675,300,0.87570299,300,0.8787925,300
-0.00014738,-1.58E-17,0.68674321,5.92E-09,0.78406688,5.92E-08,0.84090159,1.75E-07,0.86165133,2.45E-07,0.87413007,2.96E-07,0.88146977,3.29E-07,0.89480211,3.95E-07,0.018301619,5.92E-11,0.18377106,5.92E-10,0.81893162,1.18E-07,0.84173455,1.78E-07,0.8593945,2.37E-07,0.80678759,9.41E-08,0.88700076,3.55E-07,0.89851787,4.14E-07,0.82810587,1.40E-07,0.83477383,1.58E-07,0.84658792,1.93E-07,0.85190625,2.10E-07,0.85691275,2.28E-07,0.86615703,2.63E-07,0.8662117,2.63E-07,0.87025106,2.80E-07,0.87786502,3.13E-07,0.88495622,3.45E-07,0.88833465,3.62E-07,0.891614,3.78E-07,-0.00014738,300,0.68674321,300,0.78406688,300,0.84090159,300,0.86165133,300,0.87413007,300,0.88146977,300,0.89480211,300,0.018301619,300,0.18377106,300,0.81893162,300,0.84173455,300,0.8593945,300,0.80678759,300,0.88700076,300,0.89851787,300,0.82810587,300,0.83477383,300,0.84658792,300,0.85190625,300,0.85691275,300,0.86615703,300,0.8662117,300,0.87025106,300,0.87786502,300,0.88495622,300,0.88833465,300,0.891614,300
-0.00014738,-8.72E-19,0.69469168,7.20E-09,0.79352247,7.20E-08,0.85105005,2.07E-07,0.87281626,2.90E-07,0.88671627,3.54E-07,0.89451102,3.93E-07,0.90871834,4.72E-07,0.027107376,7.20E-11,0.27058582,7.20E-10,0.82969852,1.44E-07,0.85362422,2.16E-07,0.87230516,2.88E-07,0.81502684,1.10E-07,0.90176921,4.32E-07,0.9141517,5.04E-07,0.83770495,1.66E-07,0.84465181,1.87E-07,0.85699953,2.28E-07,0.86257455,2.49E-07,0.86783196,2.70E-07,0.87756297,3.11E-07,0.87832895,3.15E-07,0.88260466,3.34E-07,0.89068036,3.74E-07,0.89822035,4.13E-07,0.90181879,4.32E-07,0.90531546,4.52E-07,-0.00014738,300,0.69469168,300,0.79352247,300,0.85105005,300,0.87281626,300,0.88671627,300,0.89451102,300,0.90871834,300,0.027107376,300,0.27058582,300,0.82969852,300,0.85362422,300,0.87230516,300,0.81502684,300,0.90176921,300,0.9141517,300,0.83770495,300,0.84465181,300,0.85699953,300,0.86257455,300,0.86783196,300,0.87756297,300,0.87832895,300,0.88260466,300,0.89068036,300,0.89822035,300,0.90181879,300,0.90531546,300
-0.00014738,2.19E-17,0.70241294,8.74E-09,0.80315545,8.74E-08,0.8618123,2.46E-07,0.88474452,3.44E-07,0.90014006,4.23E-07,0.90845558,4.70E-07,0.92366398,5.64E-07,0.039933401,8.74E-11,0.3951196,8.74E-10,0.84081601,1.75E-07,0.86601741,2.62E-07,0.88586147,3.50E-07,0.82372505,1.29E-07,0.91744705,5.25E-07,0.93081931,6.12E-07,0.8478371,1.97E-07,0.85510384,2.21E-07,0.86806361,2.70E-07,0.87393307,2.95E-07,0.87947832,3.20E-07,0.88976772,3.69E-07,0.89121603,3.76E-07,0.89576223,4.00E-07,0.90436639,4.47E-07,0.91241993,4.94E-07,0.91627011,5.17E-07,0.92001542,5.41E-07,-0.00014738,300,0.70241294,300,0.80315545,300,0.8618123,300,0.88474452,300,0.90014006,300,0.90845558,300,0.92366398,300,0.039933401,300,0.3951196,300,0.84081601,300,0.86601741,300,0.88586147,300,0.82372505,300,0.91744705,300,0.93081931,300,0.8478371,300,0.85510384,300,0.86806361,300,0.87393307,300,0.87947832,300,0.88976772,300,0.89121603,300,0.89576223,300,0.90436639,300,0.91241993,300,0.91627011,300,0.92001542,300
-0.00014738,1.26E-17,0.70778322,1.00E-08,0.81002163,1.00E-07,0.87325265,2.92E-07,0.89752162,4.09E-07,0.9145153,5.06E-07,0.92342658,5.63E-07,0.93977981,6.75E-07,0.051885446,1.00E-10,0.50452893,1.00E-09,0.84883539,2.00E-07,0.87503156,3.00E-07,0.89578472,4.00E-07,0.83291085,1.53E-07,0.92903205,6.00E-07,0.94318066,7.00E-07,0.85855539,2.34E-07,0.86618866,2.63E-07,0.87984994,3.21E-07,0.88605694,3.51E-07,0.8919322,3.80E-07,0.90286185,4.38E-07,0.90497718,4.50E-07,0.90983288,4.78E-07,0.91904166,5.35E-07,0.92768265,5.91E-07,0.93182074,6.19E-07,0.93585036,6.47E-07,-0.00014738,300,0.70778322,300,0.81002163,300,0.87325265,300,0.89752162,300,0.9145153,300,0.92342658,300,0.93977981,300,0.051885446,300,0.50452893,300,0.84883539,300,0.87503156,300,0.89578472,300,0.83291085,300,0.92903205,300,0.94318066,300,0.85855539,300,0.86618866,300,0.87984994,300,0.88605694,300,0.8919322,300,0.90286185,300,0.90497718,300,0.90983288,300,0.91904166,300,0.92768265,300,0.93182074,300,0.93585036,300
-0.00014738,9.22E-18,0.70799001,1.00E-08,0.81002845,1.00E-07,0.88544766,3.48E-07,0.9112487,4.87E-07,0.92997336,6.06E-07,0.93956603,6.74E-07,0.95722792,8.08E-07,0.072987352,1.00E-10,0.59758933,1.00E-09,0.84881337,2.00E-07,0.87499741,3.00E-07,0.89574799,4.00E-07,0.84262049,1.80E-07,0.92901192,6.00E-07,0.9431783,7.00E-07,0.86992322,2.78E-07,0.87797632,3.13E-07,0.89244141,3.82E-07,0.89903527,4.17E-07,0.9052888,4.52E-07,0.91695234,5.21E-07,0.9197327,5.39E-07,0.92494249,5.73E-07,0.93484288,6.40E-07,0.94415565,7.07E-07,0.94862289,7.41E-07,0.95297747,7.75E-07,-0.00014738,300,0.70799001,300,0.81002845,300,0.88544766,300,0.9112487,300,0.92997336,300,0.93956603,300,0.95722792,300,0.072987352,300,0.59758933,300,0.84881337,300,0.87499741,300,0.89574799,300,0.84262049,300,0.92901192,300,0.9431783,300,0.86992322,300,0.87797632,300,0.89244141,300,0.89903527,300,0.9052888,300,0.91695234,300,0.9197327,300,0.92494249,300,0.93484288,300,0.94415565,300,0.94862289,300,0.95297747,300
